RAJ2000,logLHa
184.53462499999998,38.35
184.84675,39.75
184.93866666666665,37.85
184.96112499999998,39.18
185.0283333333333,39.66
185.07375,38.33
185.63324999999998,38.59
185.89558333333332,37.66
185.990875,38.43
186.11762499999998,38.3
186.23095833333332,37.62
186.31137499999997,37.58
186.44508333333332,40.98
186.48174999999998,38.69
186.4538333333333,38.04
186.61287499999997,39.16
186.710875,37.84
186.73512499999998,40.54
186.91875,39.69
186.94020833333332,40.05
187.0162083333333,37.9
187.06429166666663,39.72
187.0463333333333,38.86
187.1234583333333,38.81
187.24587499999998,39.36
187.25012499999997,38.77
187.26254166666664,38.06
187.40749999999997,38.42
187.45366666666663,38.05
187.50904166666663,39.2
187.57266666666663,37.77
187.62962499999998,37.19
187.65154166666665,38.83
187.85012499999996,38.05
188.02579166666663,37.36
188.18995833333332,38.3
188.51262499999999,39.61
188.53541666666663,39.97
188.87754166666664,38.46
188.99037499999997,38.58
189.1124583333333,38.1
189.08666666666664,38.99
189.22249999999997,38.04
189.37729166666665,37.69
189.35429166666665,39.25
189.9830833333333,38.06
190.38649999999998,37.62
190.3868333333333,38.23
190.53337499999998,37.59
190.70779166666665,38.3
190.6975833333333,38.15
190.718125,38.86
190.8852083333333,39.15
190.43504166666665,38.83
190.98599999999996,39.97
191.2748333333333,37.93
191.94358333333332,37.61
191.93966666666665,38.77
192.0955833333333,39.32
192.41233333333332,39.03
192.4912083333333,38.55
192.61087499999996,38.31
193.07316666666665,38.01
193.23354166666664,37.1
193.37154166666664,39.31
195.1629583333333,39.48
197.73462499999997,39.89
198.36475,39.74
202.40212499999998,36.9
204.38362499999997,39.76
205.5349583333333,38.48
207.3133333333333,39.05
208.36141666666663,38.93
208.36124999999998,38.77
208.91674999999998,39.32
209.27074999999996,40.29
211.2567083333333,37.44
215.26537499999998,38.47
214.9508333333333,38.04
218.02324999999996,39.76
221.2333333333333,39.39
223.4902083333333,39.54
225.29691666666665,38.75
226.3594583333333,40.29
