T,Z
0.400000006,8.56
6.0999999,8.27
5.19999981,8.74
5.0999999,8.71
6.0,8.58
1.10000002,8.58
0.699999988,8.69
6.0,8.63
9.89999962,8.6
5.9000001,8.59
6.5,8.39
9.89999962,8.33
7.9000001,8.43
6.69999981,8.26
-1.60000002,8.41
5.9000001,8.54
-4.80000019,8.05
8.80000019,8.42
9.69999981,8.6
3.0999999,8.52
7.9000001,8.64
8.0,8.44
8.80000019,8.28
-0.100000001,8.69
3.0,8.81
9.69999981,8.46
5.19999981,8.81
8.80000019,8.55
9.89999962,8.3
3.0999999,8.81
8.10000038,8.45
5.19999981,8.81
4.0,8.53
8.80000019,8.45
0.400000006,8.6
-1.20000005,8.83
8.80000019,8.31
-5.0,8.64
9.89999962,8.39
5.9000001,8.43
8.10000038,8.35
9.80000019,8.22
9.89999962,8.16
5.19999981,8.8
6.9000001,8.45
9.69999981,8.49
9.10000038,8.24
6.5,8.67
0.100000001,8.69
9.89999962,8.13
0.300000012,8.59
7.5999999,8.31
9.80000019,8.49
-4.19999981,8.37
8.89999962,8.4
9.80000019,8.21
5.0999999,8.87
9.89999962,7.87
8.60000038,8.31
9.89999962,8.25
-0.200000003,8.7
9.80000019,8.45
5.30000019,8.71
4.0,8.76
3.0999999,8.79
0.100000001,8.68
6.69999981,8.24
7.0999999,8.24
8.89999962,8.34
6.9000001,8.55
10.0,8.31
9.80000019,8.27
9.80000019,8.35
8.69999981,8.52
6.4000001,8.67
6.0,8.46
9.60000038,8.12
8.80000019,8.43
3.0999999,8.63
-1.89999998,8.52
3.0,8.62
3.0,8.69
2.5,8.71
6.5,8.42
5.19999981,8.76
6.5999999,8.45
-5.0,8.59
8.0,8.09
4.0,8.81
5.19999981,8.79
8.0,8.45
5.0,8.86
-2.0,8.52
1.10000002,8.66
-4.69999981,8.67
6.0,8.72
-3.0,8.65
6.0,8.57
-4.30000019,8.76
1.89999998,8.68
-4.80000019,9.15
6.0999999,8.77
5.9000001,8.71
7.80000019,8.5
5.9000001,8.83
7.9000001,8.16
9.89999962,8.4
-3.79999995,8.78
1.0,8.7
5.19999981,8.75
7.9000001,8.67
-1.89999998,8.61
3.4000001,8.86
2.0999999,8.72
-2.0999999,8.52
-2.0,8.69
9.69999981,8.47
5.19999981,8.82
1.10000002,8.63
7.80000019,8.68
5.80000019,8.73
1.0,8.7
-2.9000001,8.46
0.600000024,8.62
7.0,8.52
5.80000019,8.74
4.0,8.66
-4.9000001,8.5
3.79999995,8.68
-2.0,8.64
6.0,8.74
5.30000019,8.61
2.0,8.69
6.0,8.6
2.0,8.53
-3.20000005,8.76
6.0,8.67
5.9000001,8.7
6.0,8.79
5.19999981,8.78
2.29999995,8.75
3.79999995,8.78
3.0999999,8.76
9.89999962,8.28
3.0999999,8.8
0.600000024,8.79
2.20000005,8.8
3.0,8.64
5.80000019,8.76
1.0,8.65
6.0,8.65
4.0999999,8.8
7.9000001,8.6
7.9000001,8.34
3.0,8.75
3.5999999,8.71
-0.100000001,8.71
2.0,8.72
4.0,8.9
4.69999981,8.72
5.80000019,8.7
4.19999981,8.79
