# ID,H_BETA_FLUX,H_BETA_FLUX_ERR,OIII_5007_FLUX,OIII_5007_FLUX_ERR,NII_6548_FLUX,NII_6548_FLUX_ERR,H_ALPHA_FLUX,H_ALPHA_FLUX_ERR,NII_6584_FLUX,NII_6584_FLUX_ERR,SII_6717_FLUX,SII_6717_FLUX_ERR,AGN,COMPOSITE
42987,3700.5657,28.848314,12019.25,71.55727,226.38557,3.306643,10814.361,64.54848,682.8312,9.973587,665.2858,10.206077,false,true
43254,16.52773,2.6550817,15.570658,2.405804,12.623445,0.85196996,34.182663,2.6840935,38.075222,2.569735,17.863695,2.1862752,false,true
43798,15.609025,2.3974864,19.176493,2.4783175,5.0483165,0.75657904,27.291548,2.462893,15.226888,2.2820146,15.039041,2.215761,false,true
44864,17.886189,5.139643,33.103226,9.206181,6.245525,3.22119,20.021822,5.702168,18.837946,9.715842,5.2019157,13.655491,false,true
44885,71.23668,15.956576,89.253044,16.60757,27.127018,8.523132,71.49634,26.281023,81.82135,25.707706,20.043726,30.055895,false,true
44933,79.06762,3.522426,50.68687,4.0354447,137.49066,1.887405,593.0614,6.512843,414.70355,5.692843,0.0,-0.8111757,false,true
44973,69.03038,17.325918,98.03504,18.066362,27.19193,8.938917,150.66353,29.099125,82.01714,26.961811,21.236195,28.148258,false,true
45299,61.54407,19.42712,42.20036,14.761636,5.2943873,6.220423,28.932232,25.997288,15.969094,18.762213,-12.985784,18.414438,false,true
46086,25.322453,3.9350212,42.83775,5.398637,125.83501,3.1060774,235.87491,7.7583385,379.54742,9.368637,123.42985,7.467015,false,true
46099,108.72208,5.2727513,414.54504,8.310259,121.91848,2.5513153,488.57785,8.822668,367.73428,7.6953483,116.554276,6.3297696,false,true
46440,166.83533,27.972906,106.25472,28.997349,8.577746,25.850382,187.03299,82.20866,25.872463,77.97064,-0.19163081,54.908318,false,true
46918,296.5339,4.063401,473.23712,5.663902,43.49139,0.78330326,969.91406,8.317592,131.18007,2.362621,161.42613,2.8359442,false,true
47337,130.14032,4.448454,33.682487,4.142936,96.091125,2.1793325,772.5292,9.789526,289.83304,6.5733633,77.24933,5.379087,false,true
47363,30.311396,19.067223,84.75323,18.645622,24.459473,9.598459,115.85884,32.558346,73.77541,28.951138,48.937057,28.65421,false,true
47841,179.83032,5.6087584,316.93246,6.5784802,64.79886,1.9641231,649.6508,9.13393,195.44832,5.924242,141.41568,5.97901,false,true
48240,28.345339,2.2306285,10.390557,2.2489727,13.774638,0.6473405,109.870346,2.52883,41.547485,1.9525262,19.479834,2.0148036,false,true
49225,131.36057,10.610458,140.43787,11.810878,184.8272,6.0649414,480.32162,17.319109,557.48145,18.293245,114.73193,15.023685,false,true
